plant_id,plant_name,utility_name,state,county,generator_id,status,technology
50552,Salka Cabazon Wind,Salka Cabazon Wind LLC,CA,Riverside,WGNS,OP,Onshore Wind Turbine
50553,Edom Hills Project 1 LLC,Edom Hills Project 1 LLC,CA,Riverside,1,OP,Onshore Wind Turbine
50690,San Gorgonio Westwinds II LLC,Terra-Gen Operating Co-Wind,CA,Riverside,GEN1,OP,Onshore Wind Turbine
50754,Oak Creek Energy Systems I,Terra-Gen Operating Co-Wind,CA,Kern,GEN1,OP,Onshore Wind Turbine
50754,Oak Creek Energy Systems I,Terra-Gen Operating Co-Wind,CA,Kern,GEN2,OP,Onshore Wind Turbine
50754,Oak Creek Energy Systems I,Terra-Gen Operating Co-Wind,CA,Kern,GEN3,OP,Onshore Wind Turbine
50754,Oak Creek Energy Systems I,Terra-Gen Operating Co-Wind,CA,Kern,GEN4,OP,Onshore Wind Turbine
50820,East Winds Project,Terra-Gen Operating Co-Wind,CA,Riverside,GEN1,OP,Onshore Wind Turbine
50821,Mojave 16/17/18,Terra-Gen Operating Co-Wind,CA,Kern,GEN1,OP,Onshore Wind Turbine
52142,Mojave 3/4/5,Terra-Gen Operating Co-Wind,CA,Kern,GEN1,OP,Onshore Wind Turbine
52162,85 A,Wind Wall 1 LLC,CA,Kern,MON1,OP,Onshore Wind Turbine
52163,85 B,Wind Wall 1 LLC,CA,Kern,MON2,OP,Onshore Wind Turbine
54298,Coram Energy LLC (ECT),Nextera Energy Resources,CA,Kern,GEWE,OP,Onshore Wind Turbine
54299,Coram Energy LLC,Nextera Energy Resources,CA,Kern,GEWE,OP,Onshore Wind Turbine
54300,Coram Energy LLC (4.5MW),Nextera Energy Resources,CA,Kern,GEWE,OP,Onshore Wind Turbine
54300,Coram Energy LLC (4.5MW),Nextera Energy Resources,CA,Kern,SX1S,OS,Onshore Wind Turbine
54453,EDF Renewable Windfarm V Inc,"EDF Renewable Asset Holdings, Inc.",CA,Solano,GEN2,OP,Onshore Wind Turbine
54454,San Gorgonio Windplant WPP1993,"FPL Energy Operating Services, Inc.",CA,Riverside,GEN11,OP,Onshore Wind Turbine
54647,TPC Windfarms LLC,Terra-Gen Operating Co-Wind,CA,Kern,EXIS,OP,Onshore Wind Turbine
54686,Difwind Farms Ltd VI,Terra-Gen Operating Co-Wind,CA,Kern,EXIS,OP,Onshore Wind Turbine
54750,Coram Tehachapi,Nextera Energy Resources,CA,Kern,VW1,OP,Onshore Wind Turbine
54793,Storm Lake 1,ALLETE Clean Energy,IA,Buena Vista,2,OP,Onshore Wind Turbine
