plant_id,name,utility_name,city,state,county,zipcode,lat,lng,sector,source
64682,Adams,"Adams Solar SC, LLC",Piedmont,SC,Anderson,29673,34.695185,-82.528284,IPP Non-CHP,eia_860_2024
64683,"Oak Trail Solar, LLC","Leeward Asset Management, LLC",Moyock,NC,Currituck,27958,36.5044,-76.1887,IPP Non-CHP,eia_860_2024
64686,Orangeville Storage,Invenergy Services LLC,Warsaw,NY,Wyoming,14569,42.738686,-78.239731,IPP Non-CHP,eia_860_2024
64687,Van der Hoek Solar Array/ Dairy,Maas Energy Works,Helm,CA,Fresno,93627,36.504015,-120.098148,Industrial Non-CHP,eia_860_2024
64688,Plymouth Wind,MidAmerican Energy Co,Remsen,IA,Plymouth,51050,42.842969,-95.941257,Electric Utility,eia_860_2024
64689,MD - PR97 (CSG),"Distributed Solar Development, LLC",Bowie,MD,Prince Georges,20716,38.934666,-76.714819,IPP Non-CHP,eia_860_2024
64690,Todd Solar,Invenergy Services LLC,Hurlock,MD,Dorchester,21643,38.613328,-75.835207,IPP Non-CHP,eia_860_2024
64692,Fredonia Solar LLC,Greenbacker Renewable Energy Corporation,Fredonia,NY,Chautauqua,14063,42.453047,-79.3408,IPP Non-CHP,eia_860_2024
64693,Dos Palos,Greenbacker Renewable Energy Corporation,Dos Palos,CA,Merced,93620,36.981755,-120.625358,IPP Non-CHP,eia_860_2024
64695,Angel Fire Energy Facility,"Angel Fire Energy Facility, LLC",Angel Fire,NM,Colfax,87710,36.416867,-105.280664,Electric Utility,eia_860_2024
