plant_id,plant_name,utility_name,state,county,generator_id,status,technology
56322,Wild Horse,Puget Sound Energy Inc,WA,Kittitas,WHS1,OP,Solar Photovoltaic
56405,Nevada Solar One,Acciona Solar Power,NV,Clark,ONE,OP,Solar Thermal without Energy Storage
56481,SunE Alamosa,SunE Alamosa1 LLC,CO,Alamosa,1,OP,Solar Photovoltaic
56481,SunE Alamosa,SunE Alamosa1 LLC,CO,Alamosa,2,OP,Solar Photovoltaic
56500,Western 102 Power Plant,Nevada Gold Mines,NV,Storey,PV1,OP,Solar Photovoltaic
56540,Galena 2 Geothermal Power Plant,Ormat Nevada Inc,NV,Washoe,GLSOL,OP,Solar Photovoltaic
56568,Nellis Air Force Base Solar Array,Solar Star NAFB LLC,NV,Clark,NS1,OP,Solar Photovoltaic
56568,Nellis Air Force Base Solar Array,Solar Star NAFB LLC,NV,Clark,NS2,OP,Solar Photovoltaic
56568,Nellis Air Force Base Solar Array,Solar Star NAFB LLC,NV,Clark,NS3,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0001,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0002,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0003,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0004,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0005,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0006,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0007,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0008,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0009,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0010,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0011,OP,Solar Photovoltaic
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,HI,Maui,0012,OP,Solar Photovoltaic
56768,CalRenew-1,CalRenew-1 LLC,CA,Fresno,CR1,OP,Solar Photovoltaic
56812,Solana Generating Station,Arizona Solar One LLC,AZ,Maricopa,GEN 1,OP,Solar Thermal with Energy Storage
56812,Solana Generating Station,Arizona Solar One LLC,AZ,Maricopa,GEN2,OP,Solar Thermal with Energy Storage
56813,CSU Fresno Solar Project,MMA Fresno Power LP,CA,Fresno,1,OP,Solar Photovoltaic
56813,CSU Fresno Solar Project,MMA Fresno Power LP,CA,Fresno,2,OP,Solar Photovoltaic
